iter	Passed	Remaining
0	160	160150
1	161	80837
2	163	54349
3	164	41080
4	166	33118
5	167	27827
6	169	24086
7	171	21260
8	173	19087
9	174	17324
10	176	15882
11	178	14673
12	179	13650
13	181	12777
14	182	12008
15	184	11346
16	186	10760
17	187	10233
18	189	9770
19	190	9353
20	192	8963
21	193	8612
22	195	8293
23	196	7998
24	198	7726
25	199	7475
26	200	7237
27	202	7020
28	203	6824
29	205	6640
30	207	6481
31	209	6338
32	211	6189
33	213	6054
34	215	5934
35	217	5811
36	218	5692
37	220	5573
38	221	5468
39	224	5385
40	226	5288
41	227	5190
42	228	5092
43	230	4999
44	231	4909
45	232	4824
46	233	4743
47	235	4670
48	237	4610
49	239	4546
50	241	4491
51	243	4430
52	244	4370
53	246	4311
54	247	4258
55	250	4216
56	251	4168
57	253	4118
58	255	4067
59	256	4015
60	257	3968
61	259	3921
62	260	3876
63	262	3836
64	264	3797
65	265	3760
66	267	3719
67	267	3670
68	269	3633
69	270	3597
70	272	3560
71	273	3525
72	274	3488
73	275	3453
74	277	3424
75	279	3397
76	281	3369
77	282	3339
78	283	3309
79	285	3278
80	286	3247
81	287	3218
82	288	3189
83	290	3163
84	291	3135
85	293	3114
86	294	3088
87	295	3067
88	297	3043
89	298	3020
90	300	2996
91	301	2974
92	302	2954
93	304	2933
94	306	2916
95	307	2899
96	309	2882
97	310	2861
98	312	2841
99	313	2822
100	315	2803
101	315	2779
102	317	2761
103	318	2742
104	320	2727
105	321	2713
106	323	2699
107	324	2683
108	326	2667
109	327	2651
110	329	2635
111	330	2620
112	331	2605
113	333	2589
114	334	2576
115	336	2562
116	337	2548
117	339	2534
118	340	2518
119	341	2503
120	342	2489
121	344	2476
122	344	2458
123	346	2445
124	347	2432
125	349	2420
126	350	2411
127	351	2396
128	353	2384
129	354	2372
130	355	2360
131	357	2349
132	359	2341
133	360	2332
134	364	2338
135	366	2330
136	368	2323
137	370	2311
138	371	2302
139	373	2293
140	375	2284
141	377	2279
142	380	2278
143	382	2271
144	383	2262
145	385	2254
146	386	2244
147	388	2234
148	389	2225
149	391	2215
150	392	2207
151	394	2199
152	395	2191
153	397	2182
154	398	2173
155	400	2164
156	401	2155
157	402	2145
158	403	2136
159	405	2128
160	407	2121
161	409	2117
162	410	2108
163	411	2099
164	413	2091
165	414	2083
166	416	2075
167	417	2066
168	418	2058
169	420	2052
170	422	2046
171	423	2040
172	425	2032
173	426	2025
174	428	2017
175	429	2010
176	430	2002
177	432	1996
178	433	1989
179	435	1982
180	436	1974
181	437	1968
182	439	1961
183	440	1954
184	442	1947
185	443	1940
186	444	1934
187	446	1927
188	447	1920
189	448	1913
190	450	1908
191	452	1902
192	453	1896
193	454	1889
194	456	1882
195	457	1876
196	458	1869
197	459	1862
198	461	1856
199	462	1850
200	464	1846
201	466	1842
202	468	1840
203	470	1837
204	473	1834
205	474	1829
206	475	1823
207	477	1818
208	479	1813
209	480	1808
210	482	1803
211	483	1799
212	485	1794
213	487	1790
214	489	1785
215	490	1781
216	492	1777
217	494	1773
218	496	1769
219	497	1764
220	499	1760
221	501	1756
222	502	1751
223	504	1747
224	506	1743
225	507	1739
226	509	1735
227	511	1730
228	512	1725
229	514	1721
230	515	1716
231	517	1712
232	518	1708
233	520	1704
234	522	1699
235	523	1695
236	525	1690
237	526	1685
238	527	1680
239	529	1676
240	530	1671
241	532	1666
242	533	1662
243	535	1658
244	537	1656
245	539	1652
246	540	1649
247	542	1645
248	544	1642
249	546	1638
250	548	1637
251	550	1633
252	551	1628
253	552	1624
254	554	1620
255	556	1617
256	558	1613
257	559	1609
258	560	1604
259	562	1600
260	564	1597
261	565	1592
262	566	1588
263	568	1585
264	570	1581
265	571	1577
266	572	1572
267	574	1568
268	575	1564
269	577	1560
270	578	1557
271	580	1553
272	582	1550
273	583	1546
274	585	1542
275	586	1538
276	587	1534
277	589	1530
278	590	1526
279	592	1523
280	593	1519
281	595	1516
282	597	1512
283	598	1508
284	599	1504
285	601	1500
286	602	1496
287	603	1492
288	604	1488
289	606	1484
290	607	1481
291	609	1478
292	611	1475
293	612	1471
294	614	1467
295	615	1463
296	616	1459
297	617	1455
298	619	1451
299	620	1448
300	622	1445
301	624	1443
302	626	1440
303	627	1437
304	629	1433
305	630	1429
306	631	1425
307	633	1422
308	634	1418
309	636	1416
310	637	1412
311	639	1409
312	640	1406
313	642	1403
314	643	1399
315	645	1396
316	646	1392
317	647	1389
318	649	1386
319	650	1383
320	652	1379
321	653	1376
322	655	1372
323	656	1369
324	657	1365
325	658	1362
326	659	1358
327	661	1354
328	662	1352
329	664	1348
330	665	1345
331	667	1342
332	668	1338
333	669	1335
334	671	1332
335	672	1328
336	673	1325
337	675	1322
338	676	1318
339	677	1316
340	679	1312
341	680	1309
342	681	1305
343	683	1302
344	684	1299
345	685	1295
346	686	1292
347	688	1289
348	689	1285
349	690	1282
350	691	1279
351	693	1276
352	694	1272
353	695	1269
354	697	1267
355	698	1263
356	699	1260
357	701	1257
358	702	1254
359	703	1251
360	705	1248
361	706	1245
362	708	1242
363	709	1239
364	710	1236
365	711	1233
366	713	1230
367	714	1227
368	715	1224
369	717	1221
370	718	1218
371	719	1215
372	721	1212
373	722	1209
374	723	1206
375	725	1203
376	726	1200
377	727	1197
378	728	1193
379	729	1190
380	731	1187
381	732	1185
382	733	1182
383	735	1179
384	736	1176
385	737	1173
386	739	1170
387	740	1167
388	741	1164
389	742	1161
